winner,winner score,loser score,strategy,opponent,hand,length
tree-v4,297,304,"[4, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 2, 0, 2]",3 6 7 8 8 K,4,pass
tree-v4,297,304,"[4, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 2, 0, 2]",3 6 7 8 8 K,3,pass
tree-v4,297,304,"[2, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 1, 0, 2, 0, 2]",6 7 8 8,2,pass
tree-v4,321,303,"[0, 1, 0, 0, 0, 1, 1, 3]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 6 6 7 7 8 8 8 9 9 9 9 10 10 10 J J J K K 2 2 2,26,pass
tree-v4,321,303,"[0, 1, 0, 0, 0, 1, 1, 3]","[2, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 6 6 7 7 8 8 8 9 9 9 9 10 10 10 J J J K K 2 2 2,25,pass
tree-v4,321,303,"[0, 1, 0, 0, 0, 1, 1, 3]","[2, 1, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 6 6 7 7 8 8 8 9 9 9 9 10 10 10 J J J K K 2 2 2,23,best
tree-v4,321,303,"[0, 0, 0, 0, 0, 1, 1, 2]","[2, 1, 0, 0, 0, 0, 0, 1]",6 6 7 7 8 8 8 9 9 9 9 10 10 10 J J J 2 2 2,18,best
tree-v4,321,303,"[0, 0, 0, 0, 0, 1, 1, 1]","[2, 1, 0, 0, 0, 1, 0, 1]",6 6 8 8 8 9 9 9 9 10 10 10 J J J,14,best
tree-v4,321,303,"[0, 0, 0, 0, 0, 0, 1, 1]","[2, 1, 0, 0, 0, 2, 0, 1]",6 6 8 8 8 10 10 10 J J J,10,pass
tree-v4,321,303,"[0, 0, 0, 0, 0, 0, 1, 1]","[2, 1, 0, 0, 1, 2, 0, 1]",6 6 8 8 8 10 10 10 J J J,4,pass
AI-origin,277,292,"[3, 2, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 4 5 5 7 8 8 9 9 9 10 J J Q Q Q A 2 2 2,22,best
AI-origin,277,292,"[3, 2, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 2]",4 4 5 5 7 8 8 10 J J Q Q Q A 2 2 2,17,best
AI-origin,277,292,"[3, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 3]",7 8 8 10 J J A,12,pass
AI-origin,277,292,"[3, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 3]",7 8 8 10 J J A,9,pass
AI-origin,277,292,"[3, 2, 0, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 3]",7 8 8 10 J J A,8,best
AI-origin,277,292,"[2, 2, 0, 0, 0, 0, 0, 0]","[2, 0, 1, 0, 0, 0, 0, 3]",8 8 10 J J A,7,best
AI-origin,277,292,"[1, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 0, 0, 0, 0, 3]",8 8 J J A,6,best
AI-origin,277,292,"[0, 1, 0, 0, 0, 0, 0, 0]","[3, 1, 1, 0, 0, 0, 0, 3]",J J,4,best
tree-v4,332,316,"[1, 1, 0, 1, 0, 1, 0, 3]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 J J Q Q Q K A A A 2 2 2,26,best
tree-v4,332,316,"[0, 1, 0, 1, 0, 1, 0, 3]","[2, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 J J Q Q Q A A A 2 2 2,25,pass
tree-v4,332,316,"[0, 1, 0, 1, 0, 1, 0, 3]","[3, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 J J Q Q Q A A A 2 2 2,24,pass
tree-v4,332,316,"[0, 1, 0, 1, 0, 1, 0, 3]","[4, 0, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 J J Q Q Q A A A 2 2 2,23,pass
tree-v4,332,316,"[0, 1, 0, 1, 0, 1, 0, 3]","[4, 1, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 J J Q Q Q A A A 2 2 2,21,best
tree-v4,332,316,"[0, 0, 0, 1, 0, 1, 0, 3]","[4, 2, 0, 0, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 Q Q Q A A A 2 2 2,19,pass
tree-v4,332,316,"[0, 0, 0, 1, 0, 1, 0, 3]","[4, 2, 0, 1, 0, 0, 0, 0]",3 3 4 4 4 5 6 7 8 9 9 10 10 10 10 Q Q Q A A A 2 2 2,14,best
tree-v4,332,316,"[0, 0, 0, 0, 0, 1, 0, 3]","[4, 2, 0, 1, 0, 1, 0, 0]",3 3 4 4 9 9 10 10 10 10 Q Q Q A A A 2 2 2,10,best
tree-v4,332,316,"[0, 0, 0, 0, 0, 0, 0, 3]","[4, 2, 0, 1, 0, 2, 0, 0]",3 3 4 4 9 9 Q Q Q A A A 2 2 2,6,best
tree-v4,332,316,"[0, 0, 0, 0, 0, 0, 0, 3]","[4, 3, 0, 1, 0, 2, 0, 0]",3 3 4 4 9 9 Q Q Q A A A 2 2 2,4,best
AI-origin,319,292,"[0, 4, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0]",3 3 4 4 5 5 6 6 6 7 7 7 8 8 K K A A 2 2 2 2,23,best
AI-origin,319,292,"[0, 4, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",4 4 5 5 7 7 7 8 8 K K A A,18,pass
AI-origin,319,292,"[0, 4, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 2]",4 4 5 5 7 7 7 8 8 K K A A,13,best
AI-origin,319,292,"[0, 3, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 2]",8 8 K K A A,11,best
AI-origin,319,292,"[0, 2, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 0, 0, 1, 0, 2]",K K A A,9,best
tree-v4,297,279,"[6, 1, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 4 4 5 7 7 7 8 8 9 9 9 10 J J J Q Q Q Q K K A 2,22,pass
tree-v4,297,279,"[6, 1, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 3 4 4 4 5 7 7 7 8 8 9 9 9 10 J J J Q Q Q Q K K A 2,17,best
tree-v4,297,279,"[6, 1, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 2]",3 3 3 4 4 4 5 7 7 7 9 9 9 10 Q Q Q Q K K A 2,12,pass
tree-v4,297,279,"[6, 1, 0, 0, 0, 1, 0, 2]","[0, 0, 1, 1, 0, 0, 0, 2]",3 3 3 4 4 4 5 7 7 7 9 9 9 10 Q Q Q Q K K A 2,9,pass
tree-v4,297,279,"[6, 1, 0, 0, 0, 1, 0, 2]","[1, 0, 1, 1, 0, 0, 0, 2]",3 3 3 4 4 4 5 7 7 7 9 9 9 10 Q Q Q Q K K A 2,8,best
tree-v4,297,279,"[5, 1, 0, 0, 0, 1, 0, 2]","[2, 0, 1, 1, 0, 0, 0, 2]",3 3 3 4 4 4 5 7 7 7 9 9 9 10 Q Q Q Q K K 2,7,best
tree-v4,297,279,"[5, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 1, 1, 0, 1, 0, 2]",3 4 5 10 K K 2,3,best
tree-v4,297,279,"[5, 1, 0, 0, 0, 0, 0, 0]","[3, 0, 1, 1, 0, 1, 0, 2]",3 4 5 10 K K 2,2,best
tree-v4,295,265,"[4, 4, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1]",3 4 4 4 4 5 6 6 7 7 9 9 K A 2 2,22,pass
tree-v4,295,265,"[4, 4, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 1]",3 4 4 4 4 5 6 6 7 7 9 9 K A 2 2,19,pass
tree-v4,295,265,"[4, 4, 0, 0, 0, 1, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 1]",3 4 4 4 4 5 6 6 7 7 9 9 K A 2 2,16,pass
tree-v4,295,265,"[4, 4, 0, 0, 0, 1, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 1]",3 4 4 4 4 5 6 6 7 7 9 9 K A 2 2,15,best
tree-v4,295,265,"[3, 4, 0, 0, 0, 1, 0, 0]","[2, 0, 2, 0, 0, 0, 0, 1]",3 4 4 4 4 6 6 7 7 9 9 K A 2 2,14,best
tree-v4,295,265,"[2, 4, 0, 0, 0, 1, 0, 0]","[3, 0, 2, 0, 0, 0, 0, 1]",3 4 4 4 4 6 6 7 7 9 9 A 2 2,13,pass
tree-v4,295,265,"[2, 4, 0, 0, 0, 1, 0, 0]","[4, 0, 2, 0, 0, 0, 0, 1]",3 4 4 4 4 6 6 7 7 9 9 A 2 2,12,best
tree-v4,295,265,"[0, 4, 0, 0, 0, 1, 0, 0]","[4, 0, 2, 0, 0, 1, 0, 1]",4 4 4 4 6 6 7 7 9 9 2 2,8,pass
tree-v4,295,265,"[0, 4, 0, 0, 0, 1, 0, 0]","[4, 1, 2, 0, 0, 1, 0, 1]",4 4 4 4 6 6 7 7 9 9 2 2,6,pass
tree-v4,295,265,"[0, 3, 0, 0, 0, 1, 0, 0]","[4, 2, 2, 0, 0, 1, 0, 1]",4 4 4 4 6 6 7 7 2 2,4,pass
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A 2 2 2,22,best
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A,17,pass
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A,16,pass
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 1]","[2, 0, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A,15,pass
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 1]","[3, 0, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A,14,pass
AI-origin,311,263,"[2, 2, 0, 1, 0, 0, 1, 1]","[3, 1, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 10 10 J J J Q Q Q K K K A A,12,best
AI-origin,311,263,"[2, 1, 0, 1, 0, 0, 1, 1]","[3, 2, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 J J J Q Q Q K K K A A,10,pass
AI-origin,311,263,"[2, 1, 0, 1, 0, 0, 1, 1]","[3, 3, 0, 0, 0, 1, 0, 1]",3 3 4 6 7 7 8 9 10 J J J Q Q Q K K K A A,8,best
AI-origin,311,263,"[1, 0, 0, 0, 0, 0, 0, 0]","[4, 3, 0, 0, 0, 1, 0, 1]",7,7,best
tree-v4,322,280,"[4, 3, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",3 4 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q K 2 2,23,pass
tree-v4,322,280,"[4, 3, 0, 0, 0, 0, 2, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",3 4 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q K 2 2,18,pass
tree-v4,322,280,"[4, 3, 0, 0, 0, 0, 2, 0]","[1, 0, 0, 0, 0, 1, 0, 1]",3 4 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q K 2 2,17,best
tree-v4,322,280,"[3, 3, 0, 0, 0, 0, 2, 0]","[2, 0, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q K 2 2,16,best
tree-v4,322,280,"[2, 3, 0, 0, 0, 0, 2, 0]","[3, 0, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q 2 2,15,pass
tree-v4,322,280,"[2, 3, 0, 0, 0, 0, 2, 0]","[4, 0, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q 2 2,14,pass
tree-v4,322,280,"[2, 3, 0, 0, 0, 0, 2, 0]","[5, 0, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q 2 2,13,pass
tree-v4,322,280,"[2, 3, 0, 0, 0, 0, 2, 0]","[5, 1, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J Q Q 2 2,11,best
tree-v4,322,280,"[2, 2, 0, 0, 0, 0, 2, 0]","[5, 2, 0, 0, 0, 1, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J 2 2,9,pass
tree-v4,322,280,"[2, 2, 0, 0, 0, 0, 2, 0]","[5, 2, 0, 0, 0, 2, 0, 1]",3 5 5 6 6 6 7 7 7 9 10 10 10 J J J 2 2,4,pass
AI-origin,301,292,"[2, 2, 0, 0, 1, 1, 0, 2]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 4 5 5 5 8 8 8 9 9 10 10 J J J Q Q Q Q Q K K 2 2,26,best
AI-origin,301,292,"[1, 2, 0, 0, 1, 1, 0, 2]","[2, 0, 0, 0, 0, 0, 0, 0]",3 3 3 3 4 5 5 5 8 8 9 9 10 10 J J J Q Q Q Q Q K K 2 2,25,pass
AI-origin,301,292,"[1, 2, 0, 0, 1, 1, 0, 2]","[2, 0, 0, 0, 0, 0, 0, 1]",3 3 3 3 4 5 5 5 8 8 9 9 10 10 J J J Q Q Q Q Q K K 2 2,20,best
AI-origin,301,292,"[1, 2, 0, 0, 1, 1, 0, 1]","[2, 0, 0, 0, 0, 1, 0, 1]",3 3 4 5 5 5 8 8 9 9 10 10 Q Q Q Q Q K K 2 2,16,best
AI-origin,301,292,"[1, 2, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 0, 1, 1, 0, 1]",3 3 4 5 5 5 K K 2 2,10,pass
AI-origin,301,292,"[1, 2, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 0, 1, 1, 0, 2]",3 3 4 5 5 5 K K 2 2,5,pass
AI-origin,301,292,"[1, 2, 0, 0, 0, 0, 0, 1]","[3, 0, 0, 0, 1, 1, 0, 2]",3 3 4 5 5 5 K K 2 2,4,pass
AI-origin,301,292,"[1, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 1, 1, 0, 2]",K 2 2,3,pass
tree-v4,297,306,"[3, 5, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",3 6 6 8 8 9 10 10 J Q Q K K K K 2 2,22,pass
tree-v4,297,306,"[3, 5, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]",3 6 6 8 8 9 10 10 J Q Q K K K K 2 2,17,pass
tree-v4,297,306,"[3, 5, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 9 10 10 J Q Q K K K K 2 2,14,pass
tree-v4,297,306,"[3, 5, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 9 10 10 J Q Q K K K K 2 2,13,best
tree-v4,297,306,"[2, 5, 0, 0, 0, 1, 0, 0]","[2, 0, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 10 10 J Q Q K K K K 2 2,12,pass
tree-v4,297,306,"[2, 5, 0, 0, 0, 1, 0, 0]","[3, 0, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 10 10 J Q Q K K K K 2 2,11,best
tree-v4,297,306,"[1, 5, 0, 0, 0, 1, 0, 0]","[4, 0, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 10 10 Q Q K K K K 2 2,10,pass
tree-v4,297,306,"[1, 5, 0, 0, 0, 1, 0, 0]","[4, 1, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 10 10 Q Q K K K K 2 2,8,best
tree-v4,297,306,"[1, 4, 0, 0, 0, 1, 0, 0]","[4, 2, 1, 0, 0, 1, 0, 1]",3 6 6 8 8 Q Q K K K K 2 2,6,best
tree-v4,297,306,"[1, 3, 0, 0, 0, 1, 0, 0]","[4, 2, 1, 0, 0, 2, 0, 1]",3 6 6 8 8 K K K K 2 2,2,best
tree-v4,324,311,"[1, 2, 0, 0, 0, 3, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 0]",3 3 4 4 5 5 5 5 6 6 6 7 7 7 7 8 8 10 Q Q Q Q K K K A A,22,pass
tree-v4,324,311,"[1, 2, 0, 0, 0, 3, 0, 2]","[0, 0, 0, 1, 0, 0, 0, 1]",3 3 4 4 5 5 5 5 6 6 6 7 7 7 7 8 8 10 Q Q Q Q K K K A A,17,best
tree-v4,324,311,"[1, 2, 0, 0, 0, 3, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 8 8 10 Q Q Q Q A A,12,pass
tree-v4,324,311,"[1, 2, 0, 0, 0, 3, 0, 1]","[1, 0, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 8 8 10 Q Q Q Q A A,11,best
tree-v4,324,311,"[0, 2, 0, 0, 0, 3, 0, 1]","[2, 0, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 8 8 Q Q Q Q A A,10,pass
tree-v4,324,311,"[0, 2, 0, 0, 0, 3, 0, 1]","[3, 0, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 8 8 Q Q Q Q A A,9,pass
tree-v4,324,311,"[0, 2, 0, 0, 0, 3, 0, 1]","[3, 1, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 8 8 Q Q Q Q A A,7,pass
tree-v4,324,311,"[0, 1, 0, 0, 0, 3, 0, 1]","[3, 2, 0, 1, 0, 1, 0, 1]",3 3 5 5 5 5 6 6 6 7 7 7 7 Q Q Q Q A A,5,pass
AI-origin,299,299,"[3, 3, 0, 1, 0, 2, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",3 4 4 4 5 6 6 7 7 8 8 8 8 9 9 9 9 10 10 Q Q Q K A A 2 2,22,pass
AI-origin,299,299,"[3, 3, 0, 1, 0, 2, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 1]",3 4 4 4 5 6 6 7 7 8 8 8 8 9 9 9 9 10 10 Q Q Q K A A 2 2,17,best
AI-origin,299,299,"[3, 3, 0, 1, 0, 2, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1]",3 4 5 6 6 7 7 8 8 8 8 9 9 9 9 10 10 K A A 2 2,13,pass
AI-origin,299,299,"[3, 3, 0, 1, 0, 2, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1]",3 4 5 6 6 7 7 8 8 8 8 9 9 9 9 10 10 K A A 2 2,12,best
AI-origin,299,299,"[1, 3, 0, 0, 0, 2, 0, 0]","[2, 0, 0, 1, 0, 1, 0, 1]",7 8 8 8 8 9 9 9 9 10 10 A A 2 2,11,pass
AI-origin,299,299,"[1, 3, 0, 0, 0, 2, 0, 0]","[3, 0, 0, 1, 0, 1, 0, 1]",7 8 8 8 8 9 9 9 9 10 10 A A 2 2,10,pass
AI-origin,299,299,"[1, 3, 0, 0, 0, 2, 0, 0]","[3, 1, 0, 1, 0, 1, 0, 1]",7 8 8 8 8 9 9 9 9 10 10 A A 2 2,8,best
AI-origin,299,299,"[1, 2, 0, 0, 0, 2, 0, 0]","[3, 2, 0, 1, 0, 1, 0, 1]",7 8 8 8 8 9 9 9 9 A A 2 2,6,best
AI-origin,299,299,"[1, 1, 0, 0, 0, 2, 0, 0]","[3, 3, 0, 1, 0, 1, 0, 1]",7 8 8 8 8 9 9 9 9 2 2,4,best
AI-origin,299,299,"[0, 1, 0, 0, 0, 1, 0, 0]","[4, 3, 0, 1, 0, 1, 0, 1]",9 9 9 9 2 2,3,best
AI-origin,321,281,"[1, 1, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0]",3 3 3 4 4 4 4 9 9 9 J J 2 2 2 2,21,pass
AI-origin,321,281,"[1, 1, 0, 0, 0, 2, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1]",3 3 3 4 4 4 4 9 9 9 J J 2 2 2 2,16,best
AI-origin,321,281,"[1, 1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 2]",3 4 4 4 4 J J 2 2 2 2,11,pass
AI-origin,321,281,"[1, 1, 0, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 3]",3 4 4 4 4 J J 2 2 2 2,6,pass
AI-origin,321,281,"[0, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 3]",J J 2 2 2 2,5,pass
tree-v4,331,269,"[2, 2, 0, 0, 1, 0, 0, 3]","[1, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 5 5 6 6 6 7 7 8 8 8 9 9 10 10 10 J J Q Q K K A A,26,pass
tree-v4,331,269,"[2, 2, 0, 0, 1, 0, 0, 3]","[2, 0, 0, 0, 0, 0, 0, 0]",3 3 3 4 5 5 6 6 6 7 7 8 8 8 9 9 10 10 10 J J Q Q K K A A,25,pass
tree-v4,331,269,"[2, 2, 0, 0, 1, 0, 0, 3]","[2, 0, 0, 1, 0, 0, 0, 0]",3 3 3 4 5 5 6 6 6 7 7 8 8 8 9 9 10 10 10 J J Q Q K K A A,20,pass
tree-v4,331,269,"[2, 2, 0, 0, 1, 0, 0, 3]","[2, 0, 0, 1, 1, 0, 0, 0]",3 3 3 4 5 5 6 6 6 7 7 8 8 8 9 9 10 10 10 J J Q Q K K A A,14,best
tree-v4,331,269,"[2, 2, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 1, 1, 1, 0, 0]",3 4 7 7 9 9 10 10 10 J J,10,pass
tree-v4,331,269,"[2, 2, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 1, 1, 2, 0, 0]",3 4 7 7 9 9 10 10 10 J J,5,pass
tree-v4,313,277,"[2, 2, 0, 1, 0, 0, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 4 5 5 5 6 6 6 7 7 8 8 8 9 9 10 10 10 J Q K A A 2 2 2,22,best
tree-v4,313,277,"[2, 2, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",3 3 4 5 5 5 6 6 6 8 8 8 9 10 10 A A,18,pass
tree-v4,313,277,"[2, 2, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 9 10 10 A A,13,pass
tree-v4,313,277,"[2, 2, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 9 10 10 A A,12,best
tree-v4,313,277,"[1, 2, 0, 0, 0, 0, 1, 1]","[2, 0, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 10 10 A A,11,pass
tree-v4,313,277,"[1, 2, 0, 0, 0, 0, 1, 1]","[3, 0, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 10 10 A A,10,pass
tree-v4,313,277,"[1, 2, 0, 0, 0, 0, 1, 1]","[3, 1, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 10 10 A A,8,best
tree-v4,313,277,"[1, 1, 0, 0, 0, 0, 1, 1]","[3, 2, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 A A,6,best
tree-v4,313,277,"[1, 1, 0, 0, 0, 0, 1, 1]","[3, 3, 0, 0, 0, 1, 0, 2]",3 3 4 5 5 5 6 6 6 8 8 8 A A,4,best
tree-v4,317,281,"[2, 3, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 1]",3 3 3 4 4 5 5 6 6 7 7 7 8 8 8 8 9 9 J Q Q Q K K A A 2,22,best
tree-v4,317,281,"[2, 3, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 2]",3 3 3 4 4 5 5 7 7 7 8 8 8 8 9 9 J K K A A 2,17,pass
tree-v4,317,281,"[2, 3, 0, 0, 0, 1, 0, 2]","[1, 0, 0, 0, 0, 0, 0, 2]",3 3 3 4 4 5 5 7 7 7 8 8 8 8 9 9 J K K A A 2,16,best
tree-v4,317,281,"[1, 3, 0, 0, 0, 1, 0, 2]","[1, 0, 0, 0, 0, 1, 0, 2]",3 3 3 4 4 5 5 7 7 7 8 8 8 8 9 9 K K A A 2,12,best
tree-v4,317,281,"[1, 3, 0, 0, 0, 0, 0, 2]","[1, 0, 0, 0, 0, 2, 0, 2]",3 3 3 4 4 5 5 7 7 7 9 9 K K A A 2,8,pass
tree-v4,317,281,"[1, 3, 0, 0, 0, 0, 0, 2]","[1, 1, 0, 0, 0, 2, 0, 2]",3 3 3 4 4 5 5 7 7 7 9 9 K K A A 2,6,pass
AI-origin,295,301,"[3, 2, 0, 0, 0, 1, 0, 2]","[0, 0, 0, 0, 0, 1, 0, 0]",3 3 4 4 6 7 8 8 8 10 10 10 J J K A A 2 2 2 2 2,23,best
AI-origin,295,301,"[3, 2, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1]",4 4 6 7 10 10 10 J J K A A,18,pass
AI-origin,295,301,"[3, 2, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 2]",4 4 6 7 10 10 10 J J K A A,13,best
AI-origin,295,301,"[3, 2, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 3]",6 7 J J K A A,8,pass
AI-origin,295,301,"[3, 2, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 3]",6 7 J J K A A,7,pass
AI-origin,295,301,"[2, 2, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 3]",7 J J K A A,6,pass
AI-origin,295,301,"[0, 2, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 3]",J J A A,5,pass
AI-origin,295,301,"[1, 1, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 1, 0, 3]",J A A,4,pass
AI-origin,295,301,"[1, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 1, 0, 3]",A,3,pass
AI-origin,319,273,"[4, 0, 1, 0, 0, 2, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0]",4 6 6 6 7 7 7 9 J Q Q Q Q K K K A A A A A 2,23,best
AI-origin,319,273,"[3, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]",9 J A A A A A 2,22,best
AI-origin,319,273,"[2, 0, 0, 0, 0, 1, 0, 0]","[2, 0, 0, 0, 0, 1, 0, 0]",J A A A A A 2,21,best
AI-origin,319,273,"[0, 0, 0, 0, 0, 1, 0, 0]","[3, 0, 0, 0, 0, 1, 0, 0]",A A A A A,20,best
